;Distance [m];Latitude;Longitude;IRI(1);IRI(17);AVG IRI
280;2800.0;56.144305838;8.86989187;0.593578861;0.524751375;0.559165118
281;2810.0;56.14439443;8.869910947000001;0.47196062299999997;0.624589567;0.5482750949999999
282;2820.0;56.14448453399999;8.86993058;0.39898089700000006;0.442190652;0.4205857745
283;2830.0;56.144574625;8.86995097;0.694367312;0.896863834;0.7956155730000001
284;2840.0;56.144664383999995;8.869972124;0.488371715;0.487731239;0.48805147699999996
285;2850.0;56.144753789;8.869994266;0.48589007700000003;0.40904672799999997;0.4474684025
286;2860.0;56.144843163000004;8.870016759;0.415054243;0.540226581;0.47764041199999996
287;2870.0;56.144932581999996;8.870039175;0.5210731239999999;0.513788418;0.5174307709999999
288;2880.0;56.145021963999994;8.870062182;0.75216788;0.638950885;0.6955593824999999
289;2890.0;56.145111335;8.87008589;0.696710099;0.8561264409999999;0.77641827
290;2900.0;56.145200681999995;8.870110627;0.558394597;0.772541512;0.6654680545
291;2910.0;56.145289094;8.870135693;0.43159010700000006;0.613204175;0.522397141
292;2920.0;56.145379056;8.870161612999999;0.395787575;0.48523062299999997;0.440509099
293;2930.0;56.14546897899999;8.870187948;0.672126613;0.8286591409999999;0.7503928769999999
294;2940.0;56.145558146000006;8.87021411;0.444871086;0.484878762;0.464874924
295;2950.0;56.14564668;8.870240332;0.588412771;0.606635109;0.59752394
296;2960.0;56.145735282;8.870266589;0.4094334;0.47336111399999997;0.441397257
297;2970.0;56.145825133;8.870293756;0.522302611;0.710841701;0.6165721559999999
298;2980.0;56.145914938999994;8.870321402;0.853125274;1.216918369;1.0350218215
299;2990.0;56.146004039;8.870349907;0.7388418179999999;0.869603169;0.8042224935
300;3000.0;56.14609170600001;8.870379177;0.695270165;0.881699593;0.7884848790000001
301;3010.0;56.146180231;8.870408982999999;0.579772705;0.648987994;0.6143803495
302;3020.0;56.146268913;8.870438941;0.454823716;0.6874695209999999;0.5711466184999999
303;3030.0;56.146357544;8.870469388;0.43730170100000004;0.489228017;0.46326485900000003
