Distance [m];Tid [s];Latitude;Longitude;IRI(1);IRI(17); HÃ¸jde [m]; Geoide hÃ¸jde [m]; DOP; Satellitter; Fixtype; GPStid; Metode; Vcar [rad]
1120.000000000; 56.339680000; 56.129719659; 8.874446057; 0.918067284; 0.944180136; 41.099998474; 42.200000763; 0.600000024; 17; 2; 112404.000000000; 0; -0.638225436
1130.000000000; 56.738380000; 56.129792301; 8.874350657; 1.860982917; 1.077224786; 41.099998474; 42.200000763; 0.600000024; 17; 2; 112405.000000000; 0; -0.627188444
1140.000000000; 57.140880000; 56.129866141; 8.874255473; 1.388083142; 0.566022319; 41.099998474; 42.200000763; 0.600000024; 17; 2; 112405.000000000; 0; -0.618526936
1150.000000000; 57.543580000; 56.129940290; 8.874161344; 1.801359177; 0.835455396; 41.200000763; 42.200000763; 0.600000024; 17; 2; 112406.000000000; 0; -0.612695992
1160.000000000; 57.945870000; 56.130014603; 8.874068451; 1.598166890; 0.994000717; 41.200000763; 42.200000763; 0.600000024; 17; 2; 112406.000000000; 0; -0.604630947
1170.000000000; 58.348410000; 56.130089282; 8.873976508; 1.705544544; 1.049547340; 41.200000763; 42.200000763; 0.600000024; 17; 2; 112406.000000000; 0; -0.597705185
1180.000000000; 58.751010000; 56.130163570; 8.873885050; 1.387671465; 0.596620035; 41.299999237; 42.200000763; 0.600000024; 17; 2; 112407.000000000; 0; -0.598573148
1190.000000000; 59.153660000; 56.130238098; 8.873794581; 1.213897841; 0.575631784; 41.299999237; 42.200000763; 0.600000024; 17; 2; 112407.000000000; 0; -0.590680420
1200.000000000; 59.556500000; 56.130313182; 8.873705067; 2.367202621; 2.779343195; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112408.000000000; 0; -0.580528200
1210.000000000; 59.959480000; 56.130388929; 8.873616708; 0.791848398; 0.998526242; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112408.000000000; 0; -0.572351277
1220.000000000; 60.358480000; 56.130464319; 8.873530341; 0.417722637; 0.569489920; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112408.000000000; 0; -0.564341962
1230.000000000; 60.761600000; 56.130540693; 8.873444163; 0.552384910; 0.545091308; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112409.000000000; 0; -0.557345271
1240.000000000; 61.164930000; 56.130617363; 8.873359003; 0.590141567; 0.718320417; 41.400001526; 42.200000763; 0.600000024; 17; 2; 112409.000000000; 0; -0.551528513
1250.000000000; 61.568300000; 56.130694300; 8.873274736; 0.535222155; 0.494843869; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112410.000000000; 0; -0.542777896
1260.000000000; 61.971820000; 56.130771519; 8.873191704; 0.815899298; 0.708072712; 41.500000000; 42.200000763; 0.600000024; 17; 2; 112410.000000000; 0; -0.536578059
